1200 2400
62
1273,491
552.5,641.5
711.5,556
712,59
1309,556
711.5,556
874,329
864,307
874,329
865,311
1171.5,328
342.5,865
899,329
865,59
882,329
1124,307
1123,243
739,556
711.5,556
711.5,556
703,536
711.5,556
599,556
711.5,556
742.5,526
744,59
761.5,546
711.5,546
744,59
1499,349
765,348
765,348
1465,765
1559,349
573,288
574,307
574,328
899,329
899,329
899,329
263,288
341.5,328
882,329
264,307
764,307
899,329
764,328
899,329
264,307
262.5,288
899,329
264,328
594,607
641.5,628
567,629
711.5,556
711.5,556
711.5,546
232.5,526
234,59
234,59
251.5,546
